image_path,xmin,ymin,xmax,ymax,label
0_0.tif,0,0,18,19,Tree
0_0.tif,66,1,133,33,Tree
0_0.tif,0,61,47,111,Tree
0_0.tif,159,0,228,22,Tree
0_0.tif,267,1,325,22,Tree
0_0.tif,218,34,257,74,Tree
0_0.tif,234,0,300,59,Tree
0_0.tif,336,0,373,18,Tree
0_0.tif,304,19,386,58,Tree
0_0.tif,307,100,339,133,Tree
0_0.tif,196,81,244,116,Tree
0_0.tif,236,82,288,133,Tree
0_0.tif,229,122,280,164,Tree
0_0.tif,1,15,23,46,Tree
0_0.tif,145,24,189,71,Tree
0_0.tif,89,79,139,123,Tree
0_0.tif,120,63,161,104,Tree
0_0.tif,147,75,188,105,Tree
0_0.tif,143,106,177,141,Tree
0_0.tif,111,119,163,172,Tree
0_0.tif,361,119,393,154,Tree
0_0.tif,284,145,316,182,Tree
0_0.tif,230,166,289,212,Tree
0_0.tif,176,144,231,200,Tree
0_0.tif,147,125,199,179,Tree
0_0.tif,31,116,71,155,Tree
0_0.tif,0,176,42,243,Tree
0_0.tif,87,198,131,255,Tree
0_0.tif,373,165,399,204,Tree
0_0.tif,345,210,394,252,Tree
0_0.tif,287,181,329,214,Tree
0_0.tif,17,236,61,278,Tree
0_0.tif,54,221,104,271,Tree
0_0.tif,83,278,145,319,Tree
0_0.tif,80,246,147,278,Tree
0_0.tif,134,212,187,263,Tree
0_0.tif,102,152,151,190,Tree
0_0.tif,181,213,218,250,Tree
0_0.tif,256,232,301,273,Tree
0_0.tif,242,262,281,303,Tree
0_0.tif,182,237,247,289,Tree
0_0.tif,166,277,218,335,Tree
0_0.tif,274,269,323,320,Tree
0_0.tif,289,237,329,288,Tree
0_0.tif,306,274,359,325,Tree
0_0.tif,328,248,386,308,Tree
0_0.tif,369,242,399,307,Tree
0_0.tif,349,298,398,355,Tree
0_0.tif,184,321,234,381,Tree
0_0.tif,130,332,186,387,Tree
0_0.tif,232,298,293,355,Tree
0_0.tif,289,306,335,361,Tree
0_0.tif,251,351,319,399,Tree
0_0.tif,311,340,359,398,Tree
0_0.tif,33,151,91,207,Tree
0_0.tif,51,204,85,221,Tree
0_0.tif,148,378,197,398,Tree
0_0.tif,202,382,228,398,Tree
0_0.tif,69,359,123,399,Tree
0_0.tif,47,279,109,335,Tree
0_0.tif,23,293,102,369,Tree
0_1.tif,0,28,41,94,Tree
0_1.tif,33,13,76,78,Tree
0_1.tif,30,0,62,28,Tree
0_1.tif,74,7,117,69,Tree
0_1.tif,103,6,152,67,Tree
0_1.tif,135,45,166,76,Tree
0_1.tif,173,58,211,89,Tree
0_1.tif,142,0,190,40,Tree
0_1.tif,182,0,226,24,Tree
0_1.tif,226,0,272,18,Tree
0_1.tif,233,28,262,68,Tree
0_1.tif,248,0,314,44,Tree
0_1.tif,215,69,254,110,Tree
0_1.tif,253,75,293,112,Tree
0_1.tif,293,69,351,127,Tree
0_1.tif,272,44,297,70,Tree
0_1.tif,285,27,328,62,Tree
0_1.tif,309,0,345,26,Tree
0_1.tif,344,114,399,177,Tree
0_1.tif,338,57,399,133,Tree
0_1.tif,135,90,170,122,Tree
0_1.tif,96,88,120,116,Tree
0_1.tif,27,101,60,127,Tree
0_1.tif,29,126,56,149,Tree
0_1.tif,37,116,59,134,Tree
0_1.tif,59,98,104,135,Tree
0_1.tif,106,110,138,144,Tree
0_1.tif,74,135,116,171,Tree
0_1.tif,2,164,33,193,Tree
0_1.tif,24,163,61,195,Tree
0_1.tif,51,152,103,202,Tree
0_1.tif,59,186,99,216,Tree
0_1.tif,92,153,128,198,Tree
0_1.tif,101,191,147,241,Tree
0_1.tif,117,136,148,165,Tree
0_1.tif,169,178,217,216,Tree
0_1.tif,181,203,226,241,Tree
0_1.tif,154,118,207,181,Tree
0_1.tif,196,133,240,179,Tree
0_1.tif,179,93,230,143,Tree
0_1.tif,233,105,269,142,Tree
0_1.tif,235,132,287,182,Tree
0_1.tif,264,105,329,167,Tree
0_1.tif,31,212,78,258,Tree
0_1.tif,132,163,179,206,Tree
0_1.tif,62,254,99,293,Tree
0_1.tif,190,230,234,281,Tree
0_1.tif,151,258,214,322,Tree
0_1.tif,162,247,199,276,Tree
0_1.tif,102,247,169,298,Tree
0_1.tif,97,305,129,336,Tree
0_1.tif,62,297,101,328,Tree
0_1.tif,0,296,53,347,Tree
0_1.tif,0,223,36,274,Tree
0_1.tif,47,322,104,365,Tree
0_1.tif,41,281,86,311,Tree
0_1.tif,132,304,173,340,Tree
0_1.tif,252,241,302,286,Tree
0_1.tif,254,216,298,248,Tree
0_1.tif,294,175,320,195,Tree
0_1.tif,265,189,297,219,Tree
0_1.tif,357,175,399,214,Tree
0_1.tif,349,207,399,243,Tree
0_1.tif,308,221,345,265,Tree
0_1.tif,341,233,377,265,Tree
0_1.tif,340,289,396,345,Tree
0_1.tif,378,260,399,292,Tree
0_1.tif,205,302,242,342,Tree
0_1.tif,216,351,269,392,Tree
0_1.tif,293,341,333,392,Tree
0_1.tif,269,342,306,384,Tree
0_1.tif,313,319,358,373,Tree
0_1.tif,329,353,372,393,Tree
0_1.tif,373,360,399,391,Tree
0_1.tif,366,383,393,399,Tree
0_1.tif,1,340,64,398,Tree
0_1.tif,50,376,83,399,Tree
0_1.tif,114,347,166,398,Tree
0_1.tif,149,375,189,399,Tree
0_1.tif,190,368,231,399,Tree
0_1.tif,85,366,121,396,Tree
