image_path,xmin,ymin,xmax,ymax,label
0_0.tif,0,0,18,19,Tree
0_0.tif,66,1,133,33,Tree
0_0.tif,0,61,47,111,Tree
0_0.tif,159,0,228,22,Tree
0_0.tif,267,1,325,22,Tree
0_0.tif,218,34,257,74,Tree
0_0.tif,234,0,300,59,Tree
0_0.tif,336,0,373,18,Tree
0_0.tif,304,19,386,58,Tree
0_0.tif,307,100,339,133,Tree
0_0.tif,196,81,244,116,Tree
0_0.tif,236,82,288,133,Tree
0_0.tif,229,122,280,164,Tree
0_0.tif,1,15,23,46,Tree
0_0.tif,145,24,189,71,Tree
0_0.tif,89,79,139,123,Tree
0_0.tif,120,63,161,104,Tree
0_0.tif,147,75,188,105,Tree
0_0.tif,143,106,177,141,Tree
0_0.tif,111,119,163,172,Tree
0_0.tif,361,119,393,154,Tree
0_0.tif,284,145,316,182,Tree
0_0.tif,230,166,289,212,Tree
0_0.tif,176,144,231,200,Tree
0_0.tif,147,125,199,179,Tree
0_0.tif,31,116,71,155,Tree
0_0.tif,0,176,42,243,Tree
0_0.tif,87,198,131,255,Tree
0_0.tif,373,165,399,204,Tree
0_0.tif,345,210,394,252,Tree
0_0.tif,287,181,329,214,Tree
0_0.tif,17,236,61,278,Tree
0_0.tif,54,221,104,271,Tree
0_0.tif,83,278,145,319,Tree
0_0.tif,80,246,147,278,Tree
0_0.tif,134,212,187,263,Tree
0_0.tif,102,152,151,190,Tree
0_0.tif,181,213,218,250,Tree
0_0.tif,256,232,301,273,Tree
0_0.tif,242,262,281,303,Tree
0_0.tif,182,237,247,289,Tree
0_0.tif,166,277,218,335,Tree
0_0.tif,274,269,323,320,Tree
0_0.tif,289,237,329,288,Tree
0_0.tif,306,274,359,325,Tree
0_0.tif,328,248,386,308,Tree
0_0.tif,369,242,399,307,Tree
0_0.tif,349,298,398,355,Tree
0_0.tif,184,321,234,381,Tree
0_0.tif,130,332,186,387,Tree
0_0.tif,232,298,293,355,Tree
0_0.tif,289,306,335,361,Tree
0_0.tif,251,351,319,399,Tree
0_0.tif,311,340,359,398,Tree
0_0.tif,33,151,91,207,Tree
0_0.tif,51,204,85,221,Tree
0_0.tif,148,378,197,398,Tree
0_0.tif,202,382,228,398,Tree
0_0.tif,69,359,123,399,Tree
0_0.tif,47,279,109,335,Tree
0_0.tif,23,293,102,369,Tree
